lulc,type,season,year,phase,mean_temp,var_temp,mean_rh,var_rh,FRich1,FDiv1
bamboo,natural,pre-winter,2021-2022,1,10.38988822,16.22765419,89.03540116,132.6213107,0.44,0.67
bamboo,natural,post-winter,2021-2022,2,12.09962714,37.95402875,75.54193613,411.5022469,0.27,0.65
bamboo,natural,pre-winter,2022-2023,3,11.68887181,24.50058262,77.19745937,213.5029162,0.38,0.63
bamboo,natural,post-winter,2022-2023,4,10.67014875,13.41340927,87.56813563,208.9351891,0.36,0.7
forest,natural,pre-winter,2021-2022,1,10.91662585,8.956856488,92.52899609,75.32999655,0.29,0.7
forest,natural,post-winter,2021-2022,2,11.29638774,25.79906062,80.93275131,277.4826691,0.25,0.71
forest,natural,pre-winter,2022-2023,3,11.50620985,17.49835669,82.59299301,101.5739614,0.28,0.66
forest,natural,post-winter,2022-2023,4,12.42245539,12.39000507,84.49816843,193.0912775,0.2,0.71
jhum,modified,pre-winter,2021-2022,1,17.9867426,82.60986729,78.11990588,678.8661007,0.33,0.74
jhum,modified,post-winter,2021-2022,2,15.59171796,125.6080482,68.52782325,789.4052335,0.86,0.65
jhum,modified,pre-winter,2022-2023,3,15.28604925,137.4833636,71.73225195,918.0505734,0.75,0.76
jhum,modified,post-winter,2022-2023,4,13.7100386,67.40714699,78.07500496,637.1848485,0.32,0.57
abandoned,modified,pre-winter,2021-2022,1,14.21967594,113.873608,78.18879805,780.7606825,0.5,0.71
abandoned,modified,post-winter,2021-2022,2,16.37604497,136.6477085,70.91166669,930.651255,0.6,0.57
abandoned,modified,pre-winter,2022-2023,3,13.60881329,122.4353666,76.20209688,723.6929349,0.48,0.69
abandoned,modified,post-winter,2022-2023,4,14.20059462,91.13798048,77.18460339,750.2550282,0.41,0.66
